image_path,reconstruction_error,mahalanobis_distance,combined_score
D:\projects\xray\test\xray_easy07054flip0.jpg,0.015913444,19.242674405775247,0.20834018769762694
D:\projects\xray\test\xray_easy06985rotated45.jpg,0.016251223,19.14745688338468,0.2077257919956634
D:\projects\xray\test\xray_easy07018flip1.jpg,0.017607767,18.399928366458898,0.20160705079949384
D:\projects\xray\test\xray_easy07040flip1.jpg,0.017174194,18.41447044323047,0.20131889806788764
D:\projects\xray\test\xray_easy04575flip0.jpg,0.014447757,18.623400588204674,0.20068176292499118
D:\projects\xray\test\xray_easy07054rotated270.jpg,0.014684952,18.407859125729853,0.19876354312148148
D:\projects\xray\test\xray_easy07044rotated270.jpg,0.015940951,18.24019039670372,0.1983428551504755
D:\projects\xray\test\xray_easy07003shifted0_25.jpg,0.015926544,18.106642092511922,0.19699296454832824
D:\projects\xray\test\xray_easy04572flip1.jpg,0.016678125,17.97951949666732,0.19647331963288717
D:\projects\xray\test\xray_easy06984rotated270.jpg,0.014149909,18.08813547105342,0.19503126361824571
D:\projects\xray\test\xray_easy07025flip1.jpg,0.016836805,17.72814520384343,0.1941182573075564
D:\projects\xray\test\xray_easy04712shifted0_-25.jpg,0.015299545,17.783423985885037,0.1931337845285381
D:\projects\xray\test\xray_easy04708rotated270.jpg,0.014273343,17.847537542059857,0.19274871809705932
D:\projects\xray\test\xray_easy07057flip1.jpg,0.015267615,17.70610972639457,0.19232871247048533
D:\projects\xray\test\xray_easy07037flip0.jpg,0.01524984,17.68060480120363,0.1920558879959168
D:\projects\xray\test\xray_easy07038rotated90.jpg,0.014863596,17.68546175711013,0.19171821386890184
D:\projects\xray\test\xray_easy07037rotated90.jpg,0.015114541,17.614218969197477,0.19125673085750547
D:\projects\xray\test\xray_easy04556rotated270.jpg,0.018574582,17.22676653087827,0.19084224772162162
D:\projects\xray\test\xray_easy04520rotated90.jpg,0.013058223,17.75649900113193,0.19062321284161488
D:\projects\xray\test\xray_easy04563rotated90.jpg,0.014019157,17.598250837720517,0.1900016651833761
D:\projects\xray\test\xray_easy07063rotated45.jpg,0.014550254,17.540499423219387,0.18995524798108762
D:\projects\xray\test\xray_easy07025rotated270.jpg,0.01850382,17.01551163514931,0.18865893687511276
D:\projects\xray\test\xray_easy04544rotated270.jpg,0.016492289,17.176813371940263,0.18826042227907785
D:\projects\xray\test\xray_easy07067rotated270.jpg,0.014540688,17.291275461246162,0.18745344274719147
D:\projects\xray\test\xray_easy06992rotated270.jpg,0.014015053,17.252541549145125,0.18654046889035844
D:\projects\xray\test\xray_easy04577rotated270.jpg,0.015242285,17.05632825015069,0.1858055675966621
D:\projects\xray\test\P05963rotated45.jpg,0.009467135,17.622714219035448,0.18569427737386765
D:\projects\xray\test\xray_easy07038shifted0_25.jpg,0.0141098825,17.153097540028117,0.18564085792638085
D:\projects\xray\test\xray_easy04558shifted0_25.jpg,0.013477262,17.210885163398377,0.1855861137435018
D:\projects\xray\test\xray_easy06984shifted0_25.jpg,0.014236408,17.131268506481,0.18554909335060665
D:\projects\xray\test\xray_easy04566flip0.jpg,0.016295863,16.92247863991971,0.18552064971466017
D:\projects\xray\test\xray_easy04531shifted25_0.jpg,0.013770913,17.14396834257293,0.18521059619963648
D:\projects\xray\test\P05965flip0.jpg,0.008269888,17.685756061622193,0.18512744896509936
D:\projects\xray\test\xray_easy04557flip-1.jpg,0.017271196,16.693032960265473,0.1842015260723193
D:\projects\xray\test\xray_easy04520shifted0_25.jpg,0.015556037,16.841038205230593,0.1839664194783008
D:\projects\xray\test\xray_easy07037shifted0_25.jpg,0.014479417,16.945884036794112,0.1839382577218096
D:\projects\xray\test\xray_easy06984scaled1.4.jpg,0.012222345,17.145898820291812,0.18368133319001254
D:\projects\xray\test\xray_easy07002rotated270.jpg,0.01588817,16.70675779674317,0.18295574737527623
D:\projects\xray\test\P02162shifted10_0.jpg,0.013763691,16.894096102050014,0.18270465231916375
D:\projects\xray\test\xray_easy07063shifted0_-25.jpg,0.014800922,16.746110133977933,0.18226202335359853
D:\projects\xray\test\xray_easy07001flip0.jpg,0.017918728,16.382613389155086,0.18174486218353925
D:\projects\xray\test\P02166shifted-10_0.jpg,0.013090253,16.85308545080648,0.18162110738434653
D:\projects\xray\test\xray_easy04520scaled1.4.jpg,0.013199151,16.828252726735112,0.1814816778296375
D:\projects\xray\test\xray_easy04707flip1.jpg,0.016217394,16.51759905894269,0.18139338439004316
D:\projects\xray\test\B0049_0117shifted10_0.jpg,0.004008746,17.491639263364277,0.1789251384082695
D:\projects\xray\test\xray_easy04551rotated270.jpg,0.01756239,16.133427093225638,0.17889666030603568
D:\projects\xray\test\xray_easy07038scaled1.4.jpg,0.013187467,16.492486365732457,0.17811233077791241
D:\projects\xray\test\P02124flip-1.jpg,0.013201382,16.45722415579907,0.17777362356916587
D:\projects\xray\test\xray_easy07027rotated90.jpg,0.014358995,16.340415985760597,0.17776315440860896
D:\projects\xray\test\B0050_0028rotated45.jpg,0.00479278,17.244319201878557,0.17723597216851364
D:\projects\xray\test\B0044_0050rotated45.jpg,0.0111783,16.551590919920635,0.1766942089838667
D:\projects\xray\test\xray_easy07046shifted25_0.jpg,0.014233132,16.24527225944461,0.17668585448742527
D:\projects\xray\test\P05963shifted0_-10.jpg,0.007857229,16.852995962794203,0.1763871882572331
D:\projects\xray\test\xray_easy04672flip-1.jpg,0.0116492035,16.473248969540887,0.17638169318214947
D:\projects\xray\test\xray_easy04671flip-1.jpg,0.015431001,16.076181710161233,0.17619281795270705
D:\projects\xray\test\P05964shifted10_0.jpg,0.0065575293,16.931281991995544,0.17587034924648376
D:\projects\xray\test\xray_easy04709rotated90.jpg,0.017419346,15.834323732084709,0.17576258299774605
D:\projects\xray\test\xray_easy07068flip1.jpg,0.017570775,15.813535293019964,0.17570612793244078
D:\projects\xray\test\xray_easy04571shifted25_0.jpg,0.013493455,16.199729789666634,0.17549075291178923
D:\projects\xray\test\xray_easy07034rotated45.jpg,0.01658851,15.888519455640475,0.17547370363919895
D:\projects\xray\test\P02169shifted-10_0.jpg,0.011925024,16.326263061379407,0.17518765459423277
D:\projects\xray\test\xray_easy04558shifted-25_0.jpg,0.013297752,16.17289017590796,0.17502665330498565
D:\projects\xray\test\P04632flip0.jpg,0.011942145,16.28653074304745,0.17480745284512494
D:\projects\xray\test\P02145scaled1.2.jpg,0.009733836,16.496005037198362,0.17469388653854429
D:\projects\xray\test\xray_easy04521shifted0_25.jpg,0.014250722,16.029132490994925,0.17454204669239518
D:\projects\xray\test\P02146rotated180.jpg,0.01167006,16.266366148006956,0.17433372193586866
D:\projects\xray\test\xray_easy04709shifted-25_0.jpg,0.016165582,15.773030169135598,0.17389588415450125
D:\projects\xray\test\P05550rotated90.jpg,0.012085437,16.14211232135218,0.17350656005685744
D:\projects\xray\test\xray_easy04551flip1.jpg,0.017212251,15.62451825459841,0.1734574337472561
